"Diagnostic","Diagnose"
"Path","Pfad"
"Rewrite Class","Überschriebene Klasse"
"Active Class","Aktive Klasse"
"Ok","OK"
"Not Ok","Nicht Ok"
"Check Rewrites","Überprüfe Rewrites"
"Check Events","Überprüfe Events"
"Check System","Überprüfe System"
"Config Settings","Systemeinstellungen"
"System Check","System Überprüfung"
"<strong>Your server does not meet the following requirements in order to install Magento.</strong>","<strong>Ihr Server erfüllt leider nicht alle Anforderungen von Magento.</strong>"
"The following requirements failed, please contact your hosting provider in order to receive assistance with meeting the system requirements for Magento:","Die folgenden Anforderungen wurden leider nicht erfüllt. Bitte kontaktieren Sie Ihren Hosting Provider um Unterstützung für das Erreichen der Anforderungen zu bekommen:"
"The following requirements were successfully met:","Die folgenden Anforderungen wurden erfolgreich erfüllt:"
"<strong>Congratulations!</strong> Your server meets the requirements for Magento.","<strong>Herlichen Glückwunsch!</strong> Ihr Server erfüllt alle Anforderungen von Magento."
"Current Magento Version","Aktuelle Magento Version"
"All Indizes up-to-date?","Sind alle Indizes aktuell?"
"Caches active?","Cache aktiviert?"
"Seconds","Sekunden"
"Recommended is a execution time of min. %s seconds","Empfohlen ist eine Execution Time von mindestens %s Sekunden"
"Recommended is a memory limit of %s","Empfohlen ist ein Memory Limit von %s"
"%s caches active, %s caches inactive","%s Caches aktiviert, %s Caches deaktiviert"
"Disabled","Deaktiviert"
"Yes","Ja"
"No","Nein"
"%s indexes are ready, %s indexes are working, %s indexes need reindex","%s Indizes sind aktuell, %s Indizes indizieren gerade, %s Indizes sollten neu indiziert werden"
