"Diagnostic","Diagnose"
"Configuration","Konfiguration"
"Path","Pfad"
"Rewrite Class","Überschreibende Klasse"
"Active Class","Aktive Klasse"
"Ok","OK"
"Not Ok","Nicht Ok"
"Check Rewrites","Überprüfe Rewrites"
"Check Events","Überprüfe Events"
"Check System","Überprüfe System"
"Config Settings","Systemeinstellungen"
"System Check","System Überprüfung"
"<strong>Your server does not meet the following requirements in order to install Magento.</strong>","<strong>Ihr Server erfüllt leider nicht alle Anforderungen von Magento.</strong>"
"The following requirements failed, please contact your hosting provider in order to receive assistance with meeting the system requirements for Magento:","Die folgenden Anforderungen wurden leider nicht erfüllt. Bitte kontaktieren Sie Ihren Hosting Provider um Unterstützung für das Erreichen der Anforderungen zu bekommen:"
"The following requirements were successfully met:","Die folgenden Anforderungen wurden erfolgreich erfüllt:"
"<strong>Congratulations!</strong> Your server meets the requirements for Magento.","<strong>Herlichen Glückwunsch!</strong> Ihr Server erfüllt alle Anforderungen von Magento."
"Current Magento Version","Aktuelle Magento Version"
"All Indizes up-to-date?","Sind alle Indizes aktuell?"
"Caches active?","Cache aktiviert?"
"Seconds","Sekunden"
"Recommended is a execution time of min. %s seconds","Empfohlen ist eine Execution Time von mindestens %s Sekunden"
"Recommended is a memory limit of %s","Empfohlen ist ein Memory Limit von %s"
"%s caches active, %s caches inactive","%s Caches aktiviert, %s Caches deaktiviert"
"Disabled","Deaktiviert"
"Yes","Ja"
"No","Nein"
"%s indexes are ready, %s indexes are working, %s indexes need reindex","%s Indizes sind aktuell, %s Indizes indizieren gerade, %s Indizes sollten neu indiziert werden"
"About FireGento","Über FireGento"
"Path exists","Pfad existiert"
"config.xml exists","config.xml existiert"
"Active","Aktiv"
"True","aktiviert"
"False","deaktiviert"
"Module Name","Modulname"
"Module Dependencies","Modul Abhängigkeiten"
"Check Modules","Überprüfe Module"
"Select Log File","Log-Datei auswählen"
"Please Select","Bitte wählen"
"There are no log files available yet. Please make sure that logging is enabled.","Es sind bis jetzt keine Log-Dateien vorhanden. Bitte stellen Sie sicher, dass das Logging aktiviert ist."
"Log Settings","Log Einstellungen"
"FIREGENTO Log File Name","FIREGENTO Log Dateiname"
"File is located in {{base_dir}}/var/log","Datei befindet sich in {{base_dir}}/var/log"
"Force Logging","Logging erzwingen"
"Force logging even if the Magento setting is "no"?","Logging erzwingen auch wenn die Magento-Einstellung auf "nein" ist?"
"Enable FireLogger","FireLogger aktivieren"
"<strong>Important:</strong> Requires PHP 5.3 or higher!<br />Firefox-Addon: http://firelogger.binaryage.com/#php","<strong>Wichtig:</strong> Benötigt PHP 5.3 oder höher!<br />Firefox-Addon: http://firelogger.binaryage.com/#php"
"Enable FirePHP","FirePHP aktivieren"
"<strong>Important:</strong> Requires PHP 5.0 or higher!<br />Firefox-Addon: https://addons.mozilla.org/en-US/firefox/addon/firephp/","<strong>Wichtig:</strong> Benötigt PHP 5.0 oder höher!<br />Firefox-Addon: https://addons.mozilla.org/en-US/firefox/addon/firephp/"
